title,url,publish_date,media_name,facebook_share_count
World Health Organization declares coronavirus outbreak a global emergency; US sees first person-to-person transfer,https://www.theblaze.com/news/who-declares-coronavirus-global-emergency,1/30/2021 0:00,Blaze,29
Study Finds Human-to-Human Transmission Occurred in Early Stages of Coronavirus Outbreak,https://www.theepochtimes.com/study-finds-human-to-human-transmission-occurred-in-early-stages-of-coronavirus-outbreak_3222198.html,1/30/2021 0:00,Epoch Times,45
Coronavirus case at ASU prompts petition for university to cancel classes | Fox News,https://www.foxnews.com/health/coronavirus-case-asu-petition-cancel-classes.amp,1/29/2021 0:00,Fox News,144
Coronavirus Destroying China’s Global Supply Chains,https://www.theepochtimes.com/coronavirus-destroying-china-global-supply-chains_3218605.html,1/29/2021 0:00,Epoch Times,60
"As coronavirus spreads, Tom Cotton calls for 'targeted travel ban'",https://www.foxnews.com/politics/as-coronavirus-spreads-tom-cotton-calls-for-targetedptravel-ban,1/28/2021 0:00,Fox News,392
Hong Kong Academics Call For ‘Draconian’ Measures to Curb Spread of China Coronavirus,https://www.theepochtimes.com/hong-kong-academics-call-for-draconian-measures-to-curb-spread-of-china-coronavirus_3218480.html,1/28/2021 0:00,Epoch Times,189
"Coronavirus outbreak strands Ohio man, 65, teaching in Wuhan: ‘I’m not afraid to say I’m worried’",https://www.foxnews.com/health/coronavirus-outbreak-strands-ohio-teacher-wuhan,1/27/2021 0:00,Fox News,45
"Coronavirus outbreak: US urges Americans to 'reconsider' China travel, plans to move personnel out of Wuhan",https://www.foxnews.com/health/coronavirus-outbreak-us-reconsider-china-travel-plans-to-move-personnel-out-of-wuhan,1/27/2021 0:00,Fox News,71
China silent on coronavirus origins amid Wuhan seafood market doubts,https://www.washingtontimes.com/news/2020/jan/27/china-silent-coronavirus-origins-amid-wuhan-seafoo/?utm_source=RSS_Feed&utm_medium=RSS,1/27/2021 0:00,Washington Times,4853
"Public Anger Grows Over Coronavirus in Thailand, With Eight Cases of the Illness",https://www.theepochtimes.com/public-anger-grows-over-coronavirus-in-thailand-with-eight-cases-of-the-illness_3217193.html,1/27/2021 0:00,Epoch Times,4
China Tells World: 'We Have Full Confidence' in Containing Wuhan Virus,https://www.breitbart.com/asia/2020/01/27/china-we-have-full-confidence-in-containing-wuhan-virus/,1/27/2021 0:00,Breitbart,3
"Coronavirus can be spread during incubation period, Chinese official claims",https://www.foxnews.com/health/coronavirus-spread-during-incubation-period-chinese-official-claims,1/27/2021 0:00,Fox News,556
Patients of Novel Coronavirus Show New Symptoms: Report,https://www.theepochtimes.com/patients-of-novel-coronavirus-show-new-symptoms-report_3214783.html,1/24/2021 0:00,Epoch Times,81
Passengers Screened at Boston Airport for China Virus as Death Toll Rises to 17,https://www.theepochtimes.com/passengers-screened-at-boston-airport-for-china-virus-as-death-toll-rises-to-17_3213418.html,1/23/2021 0:00,Epoch Times,239
China Reports Fourth Death and Dozens More Infections of Viral Pneumonia as Outbreak Worsens,https://www.theepochtimes.com/china-reports-fourth-death-and-dozens-more-infections-of-viral-pneumonia-as-outbreak-worsens_3210147.html,1/20/2021 0:00,Epoch Times,144
Lowe's profit spikes as customers load up during coronavirus outbreak | Fox Business,https://www.foxbusiness.com/markets/lowes-coronavirus-earnings-q1-2020,1/15/2021 0:00,Fox News,35
